Age,work-class,Edu-no,Occupation,Family,Race,Gender,hours/week,salary
41,1,13,1,1,0,0,40,0
47,2,10,0,1,1,0,45,0
41,1,13,0,1,1,0,24,0
23,2,3,11,1,1,0,40,0
36,2,10,1,0,1,0,40,0
40,1,14,5,0,1,1,55,1
35,2,14,6,1,1,0,40,1
24,0,9,4,0,1,0,40,0
26,2,14,6,0,1,1,40,0
19, ?,9, ?,1,1,0,40,0
51,2,13,5,1,1,0,50,1
42,1,10,6,0,1,1,40,0
37,1,9,9,0,1,1,35,0
18,2,7,4,1,1,1,40,0
36,2,13,2,1,0,0,36,1
35,2,9,1,0,1,0,60,0
58,0,9,4,1,1,1,35,1
17,2,7,4,1,1,1,12,0
44,1,9,11,1,0,0,40,0
37,2,9,1,1,1,0,40,1
35,2,10,4,0,3,1,40,0
60,2,9,1,1,2,0,40,0
54,0,4,8,1,1,0,40,1
37,2,13,5,0,0,0,60,1
50,2,12,4,0,1,1,40,0
38,2,13,4,1,1,0,50,0
45,2,13,6,1,1,0,55,0
25,2,6,1,0,1,0,40,0
31,2,10,7,1,1,0,40,0
64, ?,2, ?,0,1,0,40,0
90,2,9,2,0,0,0,40,0
54,2,9,9,1,0,0,20,0
53,1,1,8,0,1,1,35,0
18,2,9,4,1,1,1,40,0
60, ?,6, ?,0,3,1,10,0
66,0,9,10,1,1,0,50,0
75,2,11,9,0,1,1,20,0
65,2,9,9,0,1,1,40,0
35,2,7,11,0,0,0,40,0
41,2,9,4,0,0,1,38,0
25,2,10,9,0,1,0,42,0
33,2,10,1,1,4,1,40,0
28,2,15,6,0,1,0,55,1
59,1,9,2,1,1,0,40,0
40,1,10,9,0,1,1,38,0
41,2,13,5,1,1,0,50,1
38,1,14,5,1,1,0,70,1
23,2,9,11,1,1,0,40,0
40,2,13,6,1,1,0,40,1
41,0,9,2,1,1,1,20,0
24,1,12,13,1,1,0,50,0
20, ?,10, ?,1,1,0,20,0
38,2,10,1,0,1,0,40,0
56,2,9,9,1,1,0,35,0
58,2,9,9,1,1,0,45,1
32,2,9,2,0,1,1,34,0
40,2,12,0,1,1,0,60,1
45,2,9,9,1,1,0,40,0
41,2,15,6,1,1,1,40,1
42,2,13,9,1,0,1,40,0
59,1,6,2,0,0,1,30,0
19,1,10,9,1,1,0,40,0
58,2,10,11,0,1,0,20,0
42,0,9,10,1,2,0,40,1
20,2,9,2,1,1,1,40,0
32,2,9,2,0,1,1,30,0
45,2,11,5,0,1,1,45,0
50,2,4,1,0,1,0,40,0
36,2,13,6,1,1,1,40,0
45,2,9,4,1,1,0,60,0
17,2,7,2,1,1,0,12,0
59,2,10,4,1,1,0,40,0
26,2,7,1,1,1,0,40,0
37,0,10,5,1,2,0,75,1
19, ?,10, ?,1,1,0,24,0
64,2,9,5,1,1,0,40,1
33,2,13,6,0,1,1,45,0
33,2,9,1,1,1,1,40,1
61,2,9,5,1,1,0,40,1
17,2,5,2,1,1,0,24,0
50,0,14,10,1,1,0,98,0
27,1,14,6,1,1,0,35,0
30,2,9,6,1,1,1,40,0
43,2,9,7,1,0,0,40,0
44,2,10,1,1,1,0,40,1
35,2,10,5,0,1,1,40,0
25,2,10,0,1,1,1,40,0
24,2,10,8,1,1,1,48,1
22,2,13,6,0,1,1,15,0
42,1,10,1,1,1,0,40,1
34,2,12,4,0,0,1,45,0
60,2,13,6,0,1,1,42,0
21,2,9,7,1,1,0,40,0
57,1,14,4,1,1,0,40,1
41,2,15,6,1,1,0,60,1
50,2,10,2,0,1,0,45,0
25,2,13,5,0,1,1,40,0
50,2,4,1,1,1,0,40,0
36,2,13,6,1,1,0,45,0
31,2,9,6,0,1,1,40,0
29,1,13,13,0,1,0,56,0
21,2,10,4,1,1,0,45,0
27,2,13,0,0,0,1,40,0
65,2,9,11,1,1,0,16,0
37,0,13,4,0,1,1,60,0
39, ?,14, ?,1,2,1,40,0
24,2,9,1,1,1,0,40,0
38,2,9,4,0,1,0,80,0
48,2,13,9,1,1,0,40,1
21,2,10,2,0,2,1,25,0
31,2,9,11,1,1,0,45,1
55,2,9,4,1,1,0,40,1
24,2,10,9,1,2,1,40,0
43,2,9,9,0,1,1,40,0
26,2,12,0,0,1,0,45,0
46,2,12,6,0,1,1,33,0
35,2,12,9,1,1,0,40,1
41,0,10,10,1,1,0,54,1
26,2,13,4,0,1,0,40,0
34,2,14,5,1,2,0,35,1
19, ?,10, ?,1,0,1,25,0
36,0,13,6,0,0,1,40,1
22,2,10,4,1,1,0,15,0
24,2,10,8,0,1,0,40,0
77,0,10,4,1,1,0,40,0
22,2,3,8,1,1,1,40,0
29,2,10,0,0,1,1,40,0
62,2,9,2,0,1,1,24,0
39,0,9,5,1,1,0,40,0
43,2,10,1,1,1,0,50,0
35,2,9,11,0,1,0,45,0
29,2,7,5,0,1,1,40,0
76,0,14,1,1,1,0,10,0
63,0,9,10,1,1,0,45,0
23, ?,11, ?,1,0,1,15,0
43,2,10,6,1,1,1,50,1
58,0,9,7,1,1,0,40,0
66,2,9,11,0,1,0,55,0
41,2,10,1,0,0,0,45,0
26,2,13,9,0,1,0,40,0
47,2,11,2,0,1,0,40,0
55,1,6,9,1,1,0,40,0
53,2,9,11,1,1,0,40,0
17,2,3,2,1,1,0,48,0
30,2,9,1,1,1,0,40,0
49,2,14,6,0,1,0,60,0
19,2,9,4,0,0,0,30,0
45,2,9,2,1,0,0,40,0
26,2,12,4,0,1,0,40,0
38,2,11,1,1,1,0,40,1
36,1,9,13,1,1,0,40,1
33,2,9,10,0,1,0,20,0
22,1,10,13,1,0,1,40,0
43,0,13,4,0,1,0,42,0
67, ?,7, ?,1,1,0,8,0
30, ?,11, ?,0,1,1,40,0
56,2,12,2,0,1,0,25,0
31,2,13,6,1,1,0,25,0
33,2,13,5,1,1,0,40,1
26,2,9,2,1,1,0,40,0
33,2,13,5,1,1,0,40,1
46,1,7,11,1,1,0,30,0
59, ?,13, ?,1,1,0,40,1
38,1,9,9,1,1,0,40,1
65,2,7,2,0,4,0,40,0
40,2,11,0,1,1,0,40,1
42,2,9,9,1,1,1,35,0
26,0,5,1,1,1,0,40,0
36,2,6,2,1,1,1,24,0
62,2,14,6,1,1,0,40,1
43,2,13,11,1,1,0,45,0
43,2,13,5,0,1,0,45,1
22,2,9,4,0,1,0,55,0
28,2,9,1,1,1,0,40,0
56,0,10,4,1,1,0,45,0
22,2,12,4,0,1,1,15,0
57,2,13,5,0,1,1,45,1
39,2,9,4,0,1,1,40,0
26,1,10,9,0,1,1,15,0
17,2,7,2,1,1,0,10,0
40,1,11,8,1,1,0,38,1
45,2,9,8,1,0,0,40,0
44,2,9,1,0,0,0,40,0
20,1,10,9,1,1,1,10,0
33,2,9,1,1,1,1,40,0
23,2,10,4,0,1,0,40,0
46,0,14,5,0,1,0,30,0
38,2,9,4,1,1,0,50,0
54,2,9,11,0,1,0,40,0
46,2,3,1,0,1,1,45,0
25,2,10,1,1,1,0,40,0
46,2,10,4,0,1,1,40,0
36,1,10,11,1,1,1,40,0
23,2,9,2,0,1,1,25,0
29,2,9,8,0,1,0,40,0
44,2,10,9,1,1,1,6,1
19,2,10,9,1,1,1,16,0
19,2,9,2,1,1,1,40,0
35,2,9,2,1,1,1,40,1
27,2,13,1,0,1,0,50,0
46,0,12,1,0,1,0,40,0
34,1,13,5,1,1,0,45,1
34,2,9,2,0,1,1,35,0
44,2,10,0,1,1,0,40,0
45,2,10,7,0,1,1,40,0
20, ?,9, ?,1,1,1,35,0
25,2,13,5,1,1,0,55,1
52,0,13,5,1,1,0,50,1
20,2,10,7,1,1,0,40,0
28,2,10,2,0,1,1,40,0
50,1,13,13,1,1,0,40,1
34,2,11,0,0,1,1,64,0
28,2,4,7,1,4,0,40,0
41,2,14,5,1,1,0,65,1
28,2,9,9,1,1,0,40,0
46,0,9,1,1,1,0,25,0
28, ?,10, ?,1,1,1,40,1
32,2,10,5,1,1,0,50,0
41,1,10,2,0,0,1,24,0
24,2,9,7,0,0,1,40,0
33,2,10,5,0,1,1,40,0
46,2,16,5,1,1,0,60,1
31,1,10,8,1,1,0,40,0
35,2,8,1,0,1,0,50,1
52,2,2,8,1,1,0,40,0
30,2,7,2,1,1,1,19,0
34,1,7,8,0,0,0,40,0
34,1,9,11,0,1,1,40,0
20,2,10,4,1,1,0,30,0
17,2,7,7,1,1,0,18,0
32,1,13,5,1,1,1,40,1
29,2,9,10,0,1,0,40,0
33,2,6,1,0,1,1,35,0
25,2,9,11,1,1,0,60,0
36,1,14,6,0,1,0,40,0
23,2,9,7,0,1,0,72,0
63,0,9,5,1,1,0,40,1
47,1,14,6,1,1,0,40,0
80, ?,9, ?,0,1,0,24,0
17, ?,7, ?,1,1,0,40,0
40,0,13,6,0,1,1,40,0
30,2,12,2,1,1,1,25,1
27,2,10,1,1,2,0,40,0
33,2,14,6,1,1,0,50,1
34,1,9,10,0,0,0,60,0
34,1,10,13,0,1,1,40,0
23,2,10,9,1,1,0,40,0
42,1,10,9,1,1,1,40,0
29,2,13,6,0,1,0,40,0
45,2,9,9,0,1,1,28,0
24,1,9,3,1,1,0,40,0
44,2,10,6,1,1,0,40,1
27,2,5,1,1,1,0,40,0
20,2,10,4,0,1,0,35,0
44,2,9,5,0,0,1,40,0
51,2,9,1,1,3,0,40,0
20,2,9,8,1,1,0,40,0
17, ?,7, ?,1,1,1,5,0
19,2,9,8,1,0,1,40,0
45,0,10,1,1,1,0,55,1
60,2,9,1,1,1,0,40,1
42,2,12,5,1,0,0,40,1
44,0,9,4,1,1,1,40,1
40,2,11,8,1,2,0,40,1
30,2,9,5,1,1,1,40,0
38,2,10,11,1,0,0,50,0
23,2,9,11,1,1,0,60,0
32, ?,10, ?,1,1,0,40,0
44,2,12,10,1,1,0,40,0
54,1,9,11,1,0,0,40,0
32,2,13,6,1,1,0,50,0
50,2,2,1,0,1,0,40,0
24,2,13,0,0,1,1,20,0
37,2,9,9,1,1,1,60,0
52,2,9,11,0,1,0,40,0
38,2,10,11,1,1,0,40,0
49,2,14,5,1,1,0,45,1
30,2,13,0,1,1,1,16,1
60,2,10,6,0,1,0,40,1
22, ?,10, ?,1,1,0,40,0
35,2,9,1,0,1,0,40,0
30,2,9,11,0,1,0,60,0
67,2,11,2,0,1,1,24,0
46,2,13,1,0,1,1,40,0
17,2,5,2,0,1,0,6,0
22,2,10,7,1,1,0,30,0
27,2,6,2,0,1,0,40,0
23,2,9,2,0,1,1,35,0
33,2,12,1,1,1,0,45,0
43,0,10,1,1,1,0,20,0
28,1,13,6,0,1,0,20,0
41,2,9,1,0,1,1,40,0
52, ?,8, ?,1,0,0,40,0
25,2,10,9,1,0,1,20,0
63, ?,2, ?,1,1,0,35,0
59,1,9,11,1,1,0,45,0
45,1,13,6,0,1,1,40,0
38,2,13,4,1,1,0,60,1
40,2,9,2,0,1,1,35,0
46,1,9,9,0,1,0,40,0
35,2,12,5,0,1,1,60,0
34,2,9,6,0,1,1,25,0
33,2,13,1,1,1,0,20,0
41,2,9,9,0,1,1,36,0
20,2,10,8,1,1,0,40,0
23,2,3,2,1,1,0,40,0
26,2,10,6,0,1,1,35,0
72, ?,9, ?,1,1,0,20,0
23,1,9,10,0,1,0,40,0
62,1,9,11,1,1,0,40,0
52,2,10,9,1,1,0,40,0
58,2,10,2,0,1,1,42,0
25,2,13,4,0,1,1,40,0
24,2,13,5,0,0,0,40,0
19,2,10,13,1,1,0,8,0
43,2,10,5,1,1,0,40,0
47,1,9,9,0,0,1,40,0
39,2,9,2,0,1,1,40,0
49,2,11,7,0,1,0,42,0
53, ?,3, ?,0,0,1,30,0
32,2,11,1,0,1,0,45,0
34,2,10,6,1,1,0,50,1
28,2,9,1,0,1,0,45,0
57, ?,11, ?,0,1,1,38,0
25,2,10,9,0,3,1,20,0
20, ?,10, ?,1,1,0,24,0
21, ?,10, ?,0,1,1,35,0
34,2,13,6,1,1,0,50,1
38,0,13,5,1,1,0,80,1
50,2,9,5,1,1,0,50,1
24,1,10,7,0,0,0,50,0
37,1,10,0,1,1,0,45,1
44,2,10,8,0,1,0,58,1
28,2,10,4,1,1,1,40,0
42,2,13,5,1,1,0,40,1
74,2,10,9,0,1,1,9,0
38,0,9,1,1,1,0,50,0
44,0,14,6,1,1,0,40,0
44,2,7,8,0,4,1,46,0
26,2,9,8,0,1,0,40,0
36,2,9,2,1,0,0,40,0
41,2,12,5,1,1,1,50,1
67,2,15,6,1,1,0,48,1
39,1,8,0,1,1,0,50,0
57,2,2,12,0,0,1,30,0
29,2,11,1,0,1,0,40,0
31,0,13,10,0,1,1,45,0
34, ?,9, ?,0,0,1,40,0
44,2,10,11,1,1,0,40,0
29,2,16,6,1,1,0,40,0
30,2,10,7,0,1,1,40,0
27,2,9,11,0,1,0,40,0
27,2,10,4,1,1,0,50,0
32,2,9,7,0,1,1,45,0
58,2,6,2,1,1,1,8,0
35,1,10,13,1,1,0,40,0
21,2,9,7,1,1,0,36,0
28,2,10,1,0,1,0,40,0
46,0,10,5,0,1,0,50,0
36,0,9,2,0,1,1,40,0
72,2,7,9,0,1,1,40,0
35,2,9,8,1,0,1,40,0
33,1,11,1,0,0,1,40,1
69,2,7,8,0,1,1,40,0
35,2,9,8,1,1,0,40,0
31,2,9,9,0,1,1,20,0
34,2,9,0,1,1,1,32,0
30,2,7,2,1,1,0,40,0
28,2,13,11,0,1,0,55,0
54,2,13,4,1,1,0,35,1
47,2,10,6,1,1,0,50,1
24,2,9,7,0,0,1,40,0
52,0,13,6,1,1,0,60,1
20,2,9,7,1,3,0,48,0
43,0,14,5,1,1,0,45,0
45,2,4,2,0,1,1,40,0
29,0,9,1,0,1,0,35,0
47,2,14,5,0,1,0,42,0
24,2,9,1,1,1,0,40,0
51,2,9,6,1,1,0,40,0
17,2,7,4,1,1,0,12,0
37,2,11,1,1,1,0,40,1
27,2,16,6,0,1,1,70,0
29,2,13,5,1,1,0,40,1
18, ?,8, ?,1,1,0,25,0
36,0,12,4,0,1,1,35,0
58,1,13,6,0,1,1,40,0
26,0,10,1,1,1,0,45,0
65, ?,10, ?,1,1,0,30,1
57,2,9,4,1,1,0,40,1
59,2,9,1,1,1,0,40,0
27,2,9,8,1,1,0,40,0
31,0,13,0,0,1,0,40,0
21,2,10,4,1,1,1,24,0
29,2,10,9,0,1,0,60,0
18,2,7,2,1,1,0,40,0
52,2,6,1,1,1,0,47,1
57,0,13,6,0,1,0,80,0
42, ?,9, ?,1,1,0,40,0
55, ?,9, ?,1,2,1,40,0
60,2,4,11,0,1,0,48,1
31,2,13,6,1,1,0,40,1
23,2,13,9,1,1,1,40,0
27,2,9,4,1,1,0,40,0
23, ?,10, ?,0,3,1,25,0
42,0,15,6,1,1,0,50,1
25,2,10,0,0,1,0,40,0
49,2,13,6,0,1,1,45,0
32,2,13,0,0,1,0,40,0
19,2,10,9,1,1,0,28,0
60,2,4,2,0,1,1,40,0
42,1,5,2,1,1,0,40,0
35,0,12,10,0,1,0,40,0
48,2,9,9,0,0,1,37,0
51,2,14,1,1,1,0,40,1
29,2,9,1,0,3,0,40,0
36,1,9,5,0,0,0,40,0
17,2,6,2,1,1,1,21,0
52,2,14,6,0,1,1,60,0
24,2,9,1,0,1,0,40,0
24,2,9,7,1,1,0,50,0
26,1,13,6,1,1,0,40,0
27,2,13,2,1,1,1,20,0
39,2,9,7,1,1,0,60,0
30,2,9,11,1,0,0,45,0
50,0,9,5,1,1,0,32,0
52,0,13,4,1,1,0,55,0
46,2,15,6,1,1,0,45,1
23,2,13,4,1,1,1,20,0
45,2,7,2,0,0,1,20,0
65,2,5,12,0,0,1,24,0
29,2,11,11,1,1,0,55,0
47,2,5,7,0,1,0,40,0
30,2,9,10,1,0,0,60,0
34,2,9,4,1,1,0,45,1
38,0,9,4,1,1,0,64,0
33,2,10,5,1,1,0,40,1
49,2,13,4,1,1,0,26,1
47,0,10,2,0,0,1,40,0
49,1,6,2,0,0,1,40,0
43,2,10,1,1,1,0,60,1
30,2,13,9,1,0,1,40,1
58,0,9,1,1,1,0,60,0
19,2,9,2,1,1,1,14,0
21,2,13,7,0,1,0,40,0
33,2,13,5,1,1,0,60,1
47,0,3,11,1,1,0,50,0
52,0,16,6,1,1,0,60,1
26,2,9,1,0,1,0,55,0
60,2,9,1,1,1,0,40,0
21,2,10,7,1,1,0,40,0
36,2,10,4,1,1,0,50,1
31,2,10,1,1,1,0,45,0
50,0,16,6,0,1,0,40,1
31,1,9,9,0,1,1,40,0
71,2,9,1,1,1,0,15,0
58, ?,9, ?,1,1,0,50,0
30,1,13,0,1,1,0,40,1
20,2,10,2,1,1,0,20,0
24,2,9,5,1,1,0,50,0
35,2,16,6,1,2,0,40,1
38,1,10,5,0,1,1,45,0
27,2,9,8,1,1,1,32,0
29,1,10,9,0,2,1,40,0
70, ?,5, ?,0,1,1,15,0
34,2,9,1,1,1,0,45,0
44,2,4,1,1,1,0,35,0
43,2,9,8,1,1,0,40,1
44,0,8,7,1,0,0,40,1
35,2,14,4,0,1,0,60,0
27,2,10,6,0,1,0,40,0
43,1,14,6,0,1,0,38,0
20,2,10,4,0,1,1,25,0
42,2,12,6,0,1,1,40,1
27,1,10,11,1,1,0,40,0
42,2,9,1,1,0,0,40,1
20, ?,7, ?,1,2,1,40,0
24,2,5,8,0,1,0,40,0
48,1,10,5,0,1,0,40,0
17, ?,7, ?,1,1,1,20,0
17,0,7,10,1,1,0,10,0
33,2,13,5,1,1,0,40,1
50,0,9,4,1,1,0,50,1
22,2,9,4,1,1,1,40,0
17,2,8,2,1,1,0,16,0
32,2,10,9,1,1,0,40,0
31,2,9,1,0,1,0,45,0
58,0,9,5,0,1,0,50,0
29,1,9,13,1,1,0,48,0
37,2,11,1,1,1,0,40,1
34,0,9,1,1,1,0,40,1
23,1,10,5,0,0,0,40,0
18,1,7,9,1,1,1,5,0
34,2,9,5,0,1,1,40,0
66, ?,4, ?,0,1,0,4,0
45,1,13,6,1,1,1,55,0
41,2,14,5,0,1,0,35,0
26,2,9,2,1,1,0,30,0
54,1,10,10,1,1,0,40,0
24,2,10,8,1,0,1,45,0
42,2,10,6,1,1,0,50,0
20,2,10,6,1,1,0,20,0
23,1,13,0,0,1,1,20,0
25, ?,12, ?,1,1,0,45,0
35,2,14,6,0,1,0,60,1
31,2,14,0,1,1,0,40,1
30,2,13,6,1,1,1,40,0
19,2,9,4,1,1,1,20,0
36,1,13,6,0,1,0,50,0
31,2,13,4,0,1,1,40,0
21,2,10,7,1,1,0,30,0
31,0,10,1,1,1,0,40,0
46,2,16,6,0,1,1,65,1
44,2,13,5,1,1,1,50,1
40,2,8,2,1,0,0,40,0
45,2,10,4,0,0,0,40,0
60,2,9,1,1,1,0,35,0
18,2,7,2,1,1,0,25,0
28,2,13,6,1,1,0,40,0
36,2,10,9,0,0,1,40,0
36,2,13,6,0,1,0,40,0
40,2,11,0,1,1,0,40,0
36,1,13,9,0,1,1,35,0
31,2,9,2,0,0,1,40,0
33,2,9,8,1,1,0,40,0
19,1,9,0,1,1,1,40,0
22,2,10,4,1,1,1,15,0
34,2,13,5,1,1,0,45,1
33,2,9,2,0,1,0,40,0
41,2,9,1,1,1,0,60,0
29,2,13,6,0,1,0,40,0
50,1,9,5,1,1,0,42,1
42,2,13,5,1,1,0,45,1
43,2,13,6,0,1,0,40,1
44,2,9,4,1,1,1,40,0
20,2,10,2,0,1,1,20,0
31,2,9,2,1,1,0,40,0
65,0,7,5,1,1,0,59,1
23,2,10,2,0,1,1,24,0
55,2,10,9,0,2,1,40,0
26,2,11,9,1,1,0,45,0
25,2,11,2,1,1,1,15,0
45, ?,10, ?,1,0,1,40,0
35,2,10,1,1,1,0,40,0
36,2,10,4,0,0,1,36,0
43,1,13,6,1,1,0,50,0
56,2,9,2,0,0,1,20,0
42,2,13,0,1,1,0,40,1
19,2,10,2,1,1,1,25,0
55,0,9,11,1,1,0,72,0
42,2,14,5,0,1,1,50,1
26,2,11,0,1,1,0,40,0
17,2,8,7,1,1,0,20,0
42,1,13,6,1,1,1,40,1
55,2,9,11,1,1,0,40,1
32,2,10,9,1,0,1,40,0
29,2,7,1,1,0,0,40,0
46,1,13,6,1,1,0,37,0
29,1,13,5,1,1,0,40,1
22,2,13,6,0,1,0,20,0
58,0,6,1,1,1,0,40,0
23,2,9,11,0,1,0,50,0
39,2,9,7,0,1,0,40,0
27,2,11,1,1,1,0,38,0
54,2,9,11,1,1,0,40,1
33,1,13,6,0,1,1,45,0
46,1,9,9,1,1,1,40,1
37,2,9,10,0,0,0,40,0
36,2,9,2,0,1,1,18,0
59,1,9,9,1,1,1,38,1
34,1,9,13,0,1,0,40,0
53,0,16,5,1,1,0,70,1
51,2,13,4,0,1,0,55,1
32,2,6,2,0,1,1,42,0
31,1,10,2,1,1,0,40,0
22,2,10,4,1,1,1,30,0
47,0,13,4,0,1,1,50,0
32,2,9,8,0,1,0,40,0
26,2,10,10,0,1,1,38,0
37,2,3,10,0,1,0,32,0
31,2,9,1,0,1,0,55,0
37,2,11,0,1,1,1,24,1
55,2,9,4,0,1,0,38,0
23,1,11,0,0,1,0,56,0
36,2,10,9,0,1,1,40,0
34,2,14,6,1,1,0,40,0
43,2,13,4,1,1,0,50,1
